video_id,views,likes,comments,crawl_date
--b_A-cZKK0,407,6,0,2025-10-16T03:38:46.458980+00:00
--zrvwYl9UA,7192,0,0,2025-10-16T03:38:46.459003+00:00
-2DjEtjr1xg,84027,319,2,2025-10-16T03:38:46.459008+00:00
-2SeU7hzTVU,9110,331,11,2025-10-16T03:38:46.459012+00:00
-5SF1eXuhAQ,33798,0,1,2025-10-16T03:38:46.459016+00:00
-69vFdMBkmo,9327,78,0,2025-10-16T03:38:46.459019+00:00
-7L2w-ydpi8,188581,1480,46,2025-10-16T03:38:46.459023+00:00
-86iRns7jPg,361338,11711,50,2025-10-16T03:38:46.459031+00:00
-8GzVl6LESo,459,6,0,2025-10-16T03:38:46.459035+00:00
-8if4etcKzc,3631,86,0,2025-10-16T03:38:46.459039+00:00
-8wJ9p4zftA,4192,75,0,2025-10-16T03:38:46.459046+00:00
-8zDdhCwfsU,1242841,10939,0,2025-10-16T03:38:46.459049+00:00
-9eJ-YAB0uY,23517,2464,4,2025-10-16T03:38:46.459052+00:00
-A_TIvqlD48,352619,4552,127,2025-10-16T03:38:46.459056+00:00
-A_bpISupok,28,4,0,2025-10-16T03:38:46.459059+00:00
-BNcQeMQFg4,96540,2441,1162,2025-10-16T03:38:46.459062+00:00
-BgjhW_wVMw,23831,627,20,2025-10-16T03:38:46.459065+00:00
-C0OzhGSfng,204680,3169,11,2025-10-16T03:38:46.459068+00:00
-CCavyfCsfo,481,4,1,2025-10-16T03:38:46.459072+00:00
-Ehk4pUbAf8,1239,7,3,2025-10-16T03:38:46.459075+00:00
-Hs-cO7I0Z4,34247,199,0,2025-10-16T03:38:46.459078+00:00
-J9QRMI80FE,8920,56,1,2025-10-16T03:38:46.459081+00:00
-JCWbG-e85w,4993,28,0,2025-10-16T03:38:46.459084+00:00
-KZbXmfVCIA,1286,13,1,2025-10-16T03:38:46.459088+00:00
-Matyw24dSk,26328,160,0,2025-10-16T03:38:46.459091+00:00
-MqcV2RGlfA,1975,43,0,2025-10-16T03:38:46.459094+00:00
-MsSkX_PjbE,77357,6485,238,2025-10-16T03:38:46.459097+00:00
-PG2RHXI_3k,31607,486,0,2025-10-16T03:38:46.459100+00:00
-PHcunhDhXU,1119,18,0,2025-10-16T03:38:46.459103+00:00
-QRQbNUsAOg,2916,12,0,2025-10-16T03:38:46.459105+00:00
-Qw3V9IB4Po,15451,55,0,2025-10-16T03:38:46.459108+00:00
-RM9hmcSnMA,280,9,2,2025-10-16T03:38:46.459112+00:00
-TTNgjfkKtA,280954,1539,0,2025-10-16T03:38:46.459114+00:00
-ThLS10RUNY,167366,698,0,2025-10-16T03:38:46.459117+00:00
-Thuc8jYlKw,48146,80,0,2025-10-16T03:38:46.459122+00:00
-Tq5x61gai8,452677,14859,320,2025-10-16T03:38:46.459124+00:00
-VZvel6ALTM,9158,144,1,2025-10-16T03:38:46.459127+00:00
-Wn33rSj9Gs,117753,3385,8,2025-10-16T03:38:46.459129+00:00
-c-s2GO8sh4,1897,24,1,2025-10-16T03:38:46.459132+00:00
-c61A6-JkhE,941,26,7,2025-10-16T03:38:46.459134+00:00
-d8qVgK3xNw,8438,0,0,2025-10-16T03:38:46.459136+00:00
-fMRQw-GUCs,1202,0,1,2025-10-16T03:38:46.459139+00:00
-gEW4m9qaOE,17469,105,1,2025-10-16T03:38:46.459142+00:00
-geu_dfJoBY,258,6,2,2025-10-16T03:38:46.459144+00:00
-ha8pd0qLgY,75779,103,1,2025-10-16T03:38:46.459146+00:00
-heehDW7VUg,24051,336,0,2025-10-16T03:38:46.459149+00:00
-jTiCkLpbdE,937,30,0,2025-10-16T03:38:46.459151+00:00
-lBxERmKBgw,39596,526,0,2025-10-16T03:38:46.459154+00:00
-mtaR_eH6Lw,983,23,0,2025-10-16T03:38:47.060565+00:00
-o5BZw5hg-0,5989022,95185,91,2025-10-16T03:38:47.060585+00:00
-q11rFZ7z9w,1779,41,0,2025-10-16T03:38:47.060589+00:00
-q2XrVwrTHQ,36595,195,0,2025-10-16T03:38:47.060593+00:00
-qJ1234CIzs,4378,582,1,2025-10-16T03:38:47.060596+00:00
-qZ14tRjFS8,15498,1032,15,2025-10-16T03:38:47.060599+00:00
-tRHxHZsQ8A,24410,0,37,2025-10-16T03:38:47.060602+00:00
-tYsc8KEXcU,836624,5448,19,2025-10-16T03:38:47.060606+00:00
-t_lurEiSfw,2528,45,0,2025-10-16T03:38:47.060609+00:00
-u5qcayZ0Vk,1073,4,0,2025-10-16T03:38:47.060612+00:00
-vR09a0uW7Y,27715,289,0,2025-10-16T03:38:47.060615+00:00
-vfpPa-nptU,1148,8,0,2025-10-16T03:38:47.060618+00:00
-yBoeycdnRA,3032,177,7,2025-10-16T03:38:47.060621+00:00
-yPrfCKAA0U,9073,359,0,2025-10-16T03:38:47.060624+00:00
-ybakd9oJcg,45054,141,14,2025-10-16T03:38:47.060628+00:00
-ztbkBAgXDk,866,21,0,2025-10-16T03:38:47.060630+00:00
