video_id,views,likes,comments,crawl_date
--b_A-cZKK0,408,6,0,2025-12-01T04:08:33.182858+00:00
--zrvwYl9UA,7248,0,0,2025-12-01T04:08:33.182880+00:00
-2DjEtjr1xg,84324,318,2,2025-12-01T04:08:33.182885+00:00
-2SeU7hzTVU,13004,492,18,2025-12-01T04:08:33.182892+00:00
-5SF1eXuhAQ,34088,0,1,2025-12-01T04:08:33.182896+00:00
-69vFdMBkmo,9462,82,0,2025-12-01T04:08:33.182900+00:00
-7L2w-ydpi8,324149,2305,63,2025-12-01T04:08:33.182904+00:00
-86iRns7jPg,526857,14954,59,2025-12-01T04:08:33.182911+00:00
-8GzVl6LESo,459,6,0,2025-12-01T04:08:33.182916+00:00
-8if4etcKzc,3635,85,0,2025-12-01T04:08:33.182920+00:00
-8wJ9p4zftA,4688,80,0,2025-12-01T04:08:33.182923+00:00
-8zDdhCwfsU,1269681,11240,0,2025-12-01T04:08:33.182927+00:00
-9eJ-YAB0uY,24104,2470,4,2025-12-01T04:08:33.182930+00:00
-A_TIvqlD48,447450,5829,161,2025-12-01T04:08:33.182934+00:00
-A_bpISupok,47,4,0,2025-12-01T04:08:33.182937+00:00
-BNcQeMQFg4,101472,2502,1151,2025-12-01T04:08:33.182940+00:00
-BgjhW_wVMw,31172,756,23,2025-12-01T04:08:33.182944+00:00
-C0OzhGSfng,355470,5245,12,2025-12-01T04:08:33.182947+00:00
-CCavyfCsfo,482,4,1,2025-12-01T04:08:33.182951+00:00
-Ehk4pUbAf8,1252,7,3,2025-12-01T04:08:33.182954+00:00
-Hs-cO7I0Z4,37822,222,0,2025-12-01T04:08:33.182957+00:00
-J9QRMI80FE,9265,57,1,2025-12-01T04:08:33.182960+00:00
-JCWbG-e85w,5007,28,0,2025-12-01T04:08:33.182964+00:00
-KZbXmfVCIA,1453,17,1,2025-12-01T04:08:33.182967+00:00
-Matyw24dSk,28294,169,0,2025-12-01T04:08:33.182970+00:00
-MqcV2RGlfA,2128,46,0,2025-12-01T04:08:33.182974+00:00
-MsSkX_PjbE,79905,6826,250,2025-12-01T04:08:33.182977+00:00
-PG2RHXI_3k,35801,545,1,2025-12-01T04:08:33.182980+00:00
-PHcunhDhXU,1244,19,0,2025-12-01T04:08:33.182983+00:00
-QRQbNUsAOg,2917,12,0,2025-12-01T04:08:33.182986+00:00
-Qw3V9IB4Po,17308,56,0,2025-12-01T04:08:33.182992+00:00
-RM9hmcSnMA,321,17,3,2025-12-01T04:08:33.182995+00:00
-TTNgjfkKtA,285413,1550,0,2025-12-01T04:08:33.183237+00:00
-ThLS10RUNY,171617,703,0,2025-12-01T04:08:33.183241+00:00
-Thuc8jYlKw,50455,82,0,2025-12-01T04:08:33.183245+00:00
-Tq5x61gai8,656406,21026,428,2025-12-01T04:08:33.183248+00:00
-VZvel6ALTM,9205,148,1,2025-12-01T04:08:33.183252+00:00
-Wn33rSj9Gs,151778,3954,9,2025-12-01T04:08:33.183255+00:00
-c-s2GO8sh4,1913,24,1,2025-12-01T04:08:33.183258+00:00
-c61A6-JkhE,987,26,7,2025-12-01T04:08:33.183261+00:00
-d8qVgK3xNw,8584,0,0,2025-12-01T04:08:33.183264+00:00
-fMRQw-GUCs,1212,0,1,2025-12-01T04:08:33.183268+00:00
-geu_dfJoBY,261,6,2,2025-12-01T04:08:33.183271+00:00
-ha8pd0qLgY,77071,103,1,2025-12-01T04:08:33.183274+00:00
-heehDW7VUg,24553,336,0,2025-12-01T04:08:33.183277+00:00
-jTiCkLpbdE,946,30,0,2025-12-01T04:08:33.183280+00:00
-lBxERmKBgw,46847,612,0,2025-12-01T04:08:33.183283+00:00
-mtaR_eH6Lw,1395,28,0,2025-12-01T04:08:33.832359+00:00
-o5BZw5hg-0,5994063,95019,83,2025-12-01T04:08:33.832377+00:00
-q11rFZ7z9w,1850,42,0,2025-12-01T04:08:33.832382+00:00
-q2XrVwrTHQ,36747,202,0,2025-12-01T04:08:33.832385+00:00
-qJ1234CIzs,4583,588,1,2025-12-01T04:08:33.832388+00:00
-qZ14tRjFS8,26307,1429,16,2025-12-01T04:08:33.832392+00:00
-tRHxHZsQ8A,30618,0,46,2025-12-01T04:08:33.832395+00:00
-tYsc8KEXcU,844068,5462,19,2025-12-01T04:08:33.832398+00:00
-t_lurEiSfw,2550,45,0,2025-12-01T04:08:33.832401+00:00
-u5qcayZ0Vk,1114,6,0,2025-12-01T04:08:33.832405+00:00
-vR09a0uW7Y,27934,288,0,2025-12-01T04:08:33.832408+00:00
-vfpPa-nptU,1148,8,0,2025-12-01T04:08:33.832411+00:00
-yBoeycdnRA,5141,248,8,2025-12-01T04:08:33.832414+00:00
-yPrfCKAA0U,9280,360,0,2025-12-01T04:08:33.832417+00:00
-ybakd9oJcg,56898,187,17,2025-12-01T04:08:33.832421+00:00
-ztbkBAgXDk,873,21,0,2025-12-01T04:08:33.832423+00:00
00eFG4NGVtQ,21191,129,1,2025-12-01T04:08:33.832426+00:00
05UrwdOCUJ8,2904,26,1,2025-12-01T04:08:33.832430+00:00
06EPIRoocE4,88426,746,0,2025-12-01T04:08:33.832433+00:00
07lCoi5VzBk,1170009,0,103,2025-12-01T04:08:33.832436+00:00
0AXs2oQibHU,2139,14,4,2025-12-01T04:08:33.832439+00:00
0Aocf08QAx8,44882,206,7,2025-12-01T04:08:33.832442+00:00
0CTEWKW00a8,98038,1062,10,2025-12-01T04:08:33.832445+00:00
0EHvq4GDpIU,913,6,0,2025-12-01T04:08:33.832448+00:00
0FfD4Jw_tOM,703,47,31,2025-12-01T04:08:33.832452+00:00
0GHtW_sGntA,2162,0,0,2025-12-01T04:08:33.832455+00:00
0Hpt0iHxHnA,21410,1160,15,2025-12-01T04:08:33.832458+00:00
0I8SGyTjkxw,1658,0,0,2025-12-01T04:08:33.832461+00:00
0IazBZGi5Fw,26544,458,4,2025-12-01T04:08:33.832464+00:00
0MZnrlV5aCM,1095,10,0,2025-12-01T04:08:33.832467+00:00
0NOyBjy9ZbY,10102,67,1,2025-12-01T04:08:33.832470+00:00
0OM6M6VgqMQ,21180,93,0,2025-12-01T04:08:33.832474+00:00
0RpIobgpxt0,8679,58,0,2025-12-01T04:08:33.832477+00:00
0UrO6vzc-9w,85559,1434,486,2025-12-01T04:08:33.832480+00:00
0VWshLxxzus,785,23,2,2025-12-01T04:08:33.832483+00:00
0WBX_aH0KcM,1227,15,0,2025-12-01T04:08:33.832486+00:00
0WVBkBr3tQw,1047,15,5,2025-12-01T04:08:33.832489+00:00
0Yajy17EwUU,20872,82,1,2025-12-01T04:08:33.832492+00:00
0ZosorsSUtI,1030,16,0,2025-12-01T04:08:33.832495+00:00
0Ztma0ilRZo,29423,567,0,2025-12-01T04:08:33.832497+00:00
0ZvWOutwR6o,168,11,0,2025-12-01T04:08:33.832500+00:00
0aIilaSuSb4,5211,186,0,2025-12-01T04:08:33.832503+00:00
0ba0PK1rH_M,57292,0,0,2025-12-01T04:08:33.832506+00:00
0beL5ZLNGQs,16,3,0,2025-12-01T04:08:33.832509+00:00
0ckCkO6xEHU,1562,0,0,2025-12-01T04:08:33.832512+00:00
0dXNXHnUzb8,1517,6,2,2025-12-01T04:08:33.832551+00:00
0fDkTxxH-4c,1624,61,2,2025-12-01T04:08:33.832556+00:00
0foLK5KSg6E,5768,137,81,2025-12-01T04:08:34.465143+00:00
0jMC9TK0VvA,4,0,0,2025-12-01T04:08:34.465163+00:00
